reviewID,reviewerID,restaurantID,date,rating,reviewUsefulCount,reviewContent,flagged,name,location,yelpJoinDate,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount,restaurantRating,mnr,rl,rd,Maximum Content Similarity
6iHxiTdunSlX1Fg_nGIEeg,MXfwbHv5T-U_lHix5p8cmQ,pbEiXam9YJL3neCYHGwLUA,7/24/2012,5,0,i finally made alinea i heard much alinea way i could afford it surprise surprises boyfriend took alinea birthday it slice or maybe i say 18 courses heaven the decor nice trying hard perfect the service wonderful suffocating perfect the presentation food amazing maybe i m biased i dreamed going since i first read it the hot potato cold potato magnificent the black truffle explosion to die for great food it my bf said right means loved it if world class traveler fine taste probably already made restaurant chicago headquarters rest us work pay bills place worth saving for perfect special occasion this prix fixe restaurant courses already set and hefty price but so worth it don t expect heaping portions 20 courses i know i return one day,Y,Betty The Star R.,"Chicago, IL",01-07-2012,7,13,1,6,3,3,0,0,0,4.5,0.083333333,129,0.125,0.134237119
ZrDMIIfvGb35_MQyZvcNlA,lszTWuvB2yQWCUjcRX73Xw,pbEiXam9YJL3neCYHGwLUA,07-12-2012,5,0,went friend s birthday all i say wow fine dining entertainment presentation i love place even better someone else paying,Y,Cindy S.,"Chicago, IL",01-07-2012,0,12,0,0,1,0,0,0,0,4.5,0.166666667,20,0.125,0.026265412
vjSYh7i54mbhNPzjKW-75A,jxzkUDFAreOk3VpYFedxZA,WBU0yq9J8qiYQfI_fh2P1Q,8/24/2011,3,0,didn t chicken like folks come here instead i baby buddha bi bim bop alright nothing special one comment i egg one top rice egg white edges cut off strange why edges go just leave egg alone please next time i ll try fried chicken,Y,Rich G.,"Chicago, IL",01-07-2009,13,17,0,9,3,1,1,0,0,4,0.083333333,45,0.25,0.041504536
XKjj-eKn6ZMkGcQ6E3OSXQ,PlKxCQX4aBNx2lp0EyHl0w,8d_DiHWB-pjBVW3a7D8EWg,2/24/2011,5,0,lives hype highly recommended,Y,Frank F.,"Chicago, IL",01-02-2011,12,6,0,0,0,0,0,0,0,4,0.166666667,4,0.25,0
7EAzA1FCwmuapu_fI8PyiA,0TqpLe6svu1YUb6zKl2vHg,IvdOI86_CSCRFpid2atnyA,04-06-2011,3,0,it bad server nice little slow although bus people efficient we told plates small plates ordered two extra dishes compensate however dishes arrived realized much food the plates small italian dishes perfect size entree not much little i thought regular sized entrees anywhere else world except america they wine choices chocolate mousse excellent,Y,May H.,"Chicago, IL",01-04-2011,0,5,0,1,0,0,0,0,0,4,0.083333333,53,0.25,0.057218184
AzAoPQFysE4wTVWdurM0Gw,mN25MamB30-gtCC-GbvSwA,IvdOI86_CSCRFpid2atnyA,1/22/2011,5,0,was last night booo ya,Y,Matt Matty Boy W.,"Chicago, IL",01-01-2011,4,16,0,2,2,2,0,0,0,4,0.083333333,5,0.25,0
H9YMpyJNjZQa1a0J5hgQeQ,bcfG-w1oEhRSRzIcQm_Bxw,IvdOI86_CSCRFpid2atnyA,02-08-2012,4,0,i opportunity try place friends family recent rainy friday night upon arrival told 2 hour 45 minute wait we ended waiting 50 minutes get table bad considering wait time quoted i high hopes place seeing good press receiving i would rate entire experience 6 10 the pizza little dissapointing kind bland the best dish tried giant spinach ravioli good i could eaten 5 orders myself the pork belly apple mostarda killer also overall i would go back i still prefer sister restaurant purple pig one,Y,Jimmy L.,"Lombard, IL",01-04-2010,21,22,0,18,1,0,4,0,1,4,0.083333333,85,0,0.047917205
bgZYPS687aLvVN1Bhih6zQ,EbLoh6p0Vj8ZFKq2ZHsO7A,IvdOI86_CSCRFpid2atnyA,06-02-2011,4,0,last night second visit davanti enoteca i yet disappointed since wait table 45 minutes hubby i decided cozy bar order bottle wine meal the bartender recommended wednesday night martini special made small glass let us taste it not kind drink strawberry basil balsamic vinegar something liquefied salad mouth we ended ordering argentinian bottle red we ordered mascarpone polenta pork shoulder ragu the ragu day 3 cheese plate robiolina fior de bosco my favorite grana padano montasio vino rosso pizza d o c everything very good right amount food two i recommend davanti romantic meal two bring group share food selections the restaurant seems clear bit 9pm on wednesday night,Y,Lisa H.,"Evanston, IL",01-02-2011,4,19,0,0,1,1,0,0,0,4,0.083333333,109,0,0.167852556
I73kzk9Q9t7v3B1LnM2y2g,qlGgHX-ODtXhqacSjqAl6w,IvdOI86_CSCRFpid2atnyA,8/15/2012,2,0,if looking authentic italian forget place i moved recently chicago still searching authentic italian food i oriinally italy wanted try place reading reviews atmosphere looks good prices look ok but careful see menu actually get i ordered mozzarella di bufala got pecorino cheese instead i also orderd salumi di cinghiale got salami 3 slices 12 dollars what asked waitress admited people get confused well change names menu its like asking glass water getting lemonade also oredered pizza way small crunchy all pizza costco better wine list good way overprized too many chefs nobody speaks italian very dissapointed culture chicago little italy but i keep searching,Y,Ross E.,"Chicago, IL",01-08-2012,0,1,0,1,0,1,0,0,0,4,0.083333333,105,0.5,0
1YXdmOYRcA5-OMBeEUh6gg,oQIAl5_bKkbnT89qD_UTwg,IvdOI86_CSCRFpid2atnyA,08-08-2012,4,0,nice atmosphere i would liked eat outside hot i like casual attire wait staff gives home feel place the polenta meatballs obscenely good the letdown risotto a little mushy minimal taste otherwise nice meal i would definitely come back,Y,John B.,"Oak Park, IL",01-10-2010,0,4,0,1,0,0,0,0,0,4,0.083333333,39,0,0
